TIME,CPU_LOAD,GPU_LOAD,MEM,SWAP,CURR,TEMP_CPU,TEMP_GPU
1670286268.138479,72.0,0,17.56546341463415,0.0143,3280,43.0,43.5
1670286268.6465325,73.75,1,17.435609756097563,0.0143,3280,42.0,41.5
1670286269.1513183,60.5,0,17.39570731707317,0.0143,3280,42.0,41.0
1670286269.6627693,59.75,0,17.40780487804878,0.0143,3280,42.0,43.0
1670286270.1789541,58.0,0,17.45063414634146,0.0143,3280,42.5,43.0
1670286270.6710343,55.75,0,17.422243902439025,0.0143,3280,42.0,43.0
1670286271.1967306,58.75,0,17.385853658536586,0.0143,3280,41.5,43.5
1670286271.689585,60.0,0,17.411317073170732,0.0143,3280,42.5,43.0
1670286272.2010937,53.75,0,17.454048780487806,0.0143,3280,42.0,43.0
1670286272.714113,58.75,0,17.39560975609756,0.0143,3280,42.0,43.0
1670286273.225754,60.5,0,17.393560975609756,0.0143,3280,42.0,43.0
1670286273.7445014,58.0,0,17.421853658536584,0.0143,3280,42.5,43.0
1670286274.2488384,53.0,0,17.40858536585366,0.0143,3280,42.0,43.0
1670286274.7428863,61.0,0,17.412,0.0143,3280,42.5,43.5
1670286275.2498758,59.75,0,17.396878048780486,0.0143,3280,42.0,43.5
1670286275.765454,55.25,0,17.44770731707317,0.0143,3280,42.0,43.0
1670286276.2734654,56.75,0,17.402926829268292,0.0143,3280,42.5,43.0
1670286276.778603,61.0,0,17.409756097560976,0.0143,3280,41.0,43.0
1670286277.2930825,60.0,0,17.3950243902439,0.0143,3280,42.0,43.5
1670286277.7935321,55.75,0,17.430829268292683,0.0143,3280,41.5,43.5
1670286278.3167982,78.5,0,18.72107317073171,0.0143,3280,42.0,43.5
1670286278.836476,72.5,0,19.251707317073173,0.0143,3280,41.5,41.0
1670286279.3342676,69.75,0,21.048585365853658,0.0143,3280,42.5,41.5
1670286279.831194,73.75,0,23.19180487804878,0.0143,3280,42.0,41.0
1670286280.3495138,73.0,0,24.32048780487805,0.0143,3280,42.0,41.0
1670286280.8565443,78.25,0,26.603609756097562,0.0143,3280,42.5,41.0
1670286281.378564,71.5,42,28.034341463414634,0.0143,3280,43.0,41.5
1670286281.8833566,76.25,0,28.720487804878047,0.0143,3280,42.5,41.0
1670286282.3795028,76.5,0,30.92887804878049,0.0143,3280,42.0,41.0
1670286282.881202,77.0,26,32.2009756097561,0.0143,3280,42.5,41.0
1670286283.4064376,75.5,49,34.13141463414634,0.0143,3280,42.5,41.0
1670286283.9343472,78.0,42,36.150536585365856,0.0143,3280,42.5,41.0
1670286284.422016,78.5,22,37.50370731707317,0.0143,3280,42.0,41.5
1670286284.9367316,74.5,0,39.533658536585364,0.0143,3280,42.5,41.5
1670286285.4480815,71.75,0,41.32829268292683,0.0143,3280,42.5,41.5
1670286285.964218,81.5,31,43.30341463414634,0.0143,3280,42.5,41.0
1670286286.465042,77.75,39,45.07034146341463,0.0143,3280,42.5,41.5
1670286286.974086,72.5,0,48.30429268292683,0.0143,3280,42.5,41.5
1670286287.4871445,79.5,12,49.002634146341464,0.0143,3280,42.5,41.0
1670286288.0006154,79.25,0,51.22419512195122,0.0143,3280,42.5,41.0
1670286288.5082316,74.75,0,54.00546341463415,0.0143,3280,43.5,41.5
1670286289.0283718,74.0,0,55.522536585365856,0.0143,3280,42.0,41.0
1670286289.529417,79.25,0,57.18546341463414,0.0143,3280,41.5,41.0
1670286290.0544717,81.0,0,60.211512195121955,0.0143,3280,43.5,41.5
1670286290.5548902,78.5,42,61.56985365853659,0.0143,3280,42.5,41.0
1670286291.0509057,75.25,9,63.80507317073171,0.0143,3280,42.0,41.0
1670286291.5671525,70.75,40,63.88624390243902,0.0143,3280,42.5,41.5
1670286292.0765202,71.75,0,64.79121951219511,0.0143,3280,42.0,41.5
1670286292.6034043,74.25,33,65.98829268292683,0.0143,3280,42.5,41.5
1670286293.1156068,73.0,49,66.64741463414634,0.0143,3280,42.5,41.5
1670286293.6250405,77.75,51,67.99775609756098,0.0143,3280,42.5,41.5
1670286294.1370554,75.0,41,68.80048780487805,0.0143,3280,42.5,41.5
1670286294.6499958,73.75,0,70.19873170731708,0.0143,3280,43.0,41.5
1670286295.151226,67.0,0,70.63580487804877,0.0143,3280,42.0,41.0
1670286295.6564088,65.25,0,70.99921951219513,0.0143,3280,42.0,41.5
1670286296.1693377,64.75,1,71.71073170731708,0.0143,3280,42.5,41.0
1670286296.6795273,63.25,8,72.36585365853658,0.0143,3280,42.5,41.5
1670286297.1752815,67.5,0,73.26429268292682,0.0143,3281,41.5,41.0
1670286297.6972544,77.25,38,74.90136585365855,0.0143,3281,42.5,41.5
1670286298.2139301,74.5,0,75.06985365853659,0.0143,3281,42.5,41.0
