TIME,IP_TOT_RECV_PKTS,IP_FWD,IP_UNK,IP_IN_PKTS_DISC,IP_IN_PKTS_DEL,IP_REQ_SENT,IP_OUT_PKTS_DROP,TCP_ACT_CONN,TCP_PASS_CONN,TCP_FAIL_CONN_ATTMP,TCP_CONN_RES_RECV,TCP_CONN_ESTAB,TCP_SEGM_RECV,TCP_SEGM_SENT,TCP_SEGM_RETANS,TCP_BAD_SEGM_RECV,TCP_REST_SENT,WLAN0_RX_BYTES,WLAN0_RX_PKTS,WLAN0_RX_ERR,WLAN0_RX_DROP,WLAN0_RX_OVERRUN,WLAN0_RX_MCAST,WLAN0_TX_BYTES,WLAN0_TX_PKTS,WLAN0_TX_ERR,WLAN0_TX_DROP,WLAN0_TX_OVERRUN,WLAN0_TX_MCAST
1670311089.0593474,214974,0,0,212903,274076,21,10,8714,1,4,187014,475024,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.156387,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.25764,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.3558073,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.4575055,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.5595698,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.6703148,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.7674315,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.863707,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311089.9590566,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.0541682,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.1494544,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.2483182,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.3466105,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.4489706,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.5445201,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.6401682,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.7359343,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.8320243,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311090.9302766,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.0288126,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.1275206,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.2231505,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.3189406,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.414627,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.510321,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.6057286,214975,0,0,212904,274077,21,10,8714,1,4,187015,475025,27889786,193506,0,26,0,0,612080615,474710,0,0,0,0,,,,,
1670311091.7056048,214976,0,0,212905,274078,21,10,8714,1,4,187016,475026,27889956,193507,0,26,0,0,612080709,474711,0,0,0,0,,,,,
1670311091.8026068,214976,0,0,212905,274078,21,10,8714,1,4,187016,475026,27889956,193507,0,26,0,0,612080709,474711,0,0,0,0,,,,,
